score,labels
33.212301278085434,1
17.34281292914692,0
21.872132591238593,0
67.29979590126953,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
34.190286611838324,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
25.11809424280039,0
59.1705668039448,1
35.78608849205157,1
35.78608849205157,1
43.635816609644415,1
31.477137968521784,1
35.78608849205157,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.18561027112054,1
33.18561027112054,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
31.172493287027308,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
32.14228229024923,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
57.83936884421078,1
40.80448428400667,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
31.900521110915836,1
31.172493287027308,1
27.68014404198162,0
39.909704887609955,1
25.99205050829172,0
30.90245110961318,1
56.52975453502741,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
62.057297949082425,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
39.481227592561,1
52.724599442983035,1
41.20121784218491,1
33.212301278085434,1
33.212301278085434,1
56.34497198783547,1
33.212301278085434,1
40.34217041084405,1
52.03370012423508,1
33.212301278085434,1
33.212301278085434,1
41.530635635507764,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
55.11700904700879,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
36.523516045457974,1
62.967899094980616,1
33.46136790990938,1
39.46187842265348,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
63.650859583617034,1
19.15453662650181,0
53.40795652742519,1
77.64357730223486,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
34.26155910759807,1
28.34377695066024,0
33.212301278085434,1
23.149303086087475,0
33.212301278085434,1
48.587536500535414,1
33.212301278085434,1
23.269954798403326,0
33.212301278085434,1
88.45089667706435,1
63.650859583617034,1
19.15453662650181,0
46.650839020199555,1
53.40795652742519,1
34.26155910759807,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
34.37627995466444,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
30.814702786557653,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
72.698001465995,1
17.34281292914692,0
34.48900765454275,1
50.45857735766178,1
33.212301278085434,1
33.212301278085434,1
50.67355415739352,1
45.04604463768276,1
59.415901954176306,1
43.11322016647971,1
50.379493003864496,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
43.57287203445097,1
33.212301278085434,1
40.34217041084405,1
52.03370012423508,1
38.38740782907146,1
25.534210116461164,0
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
91.44530690318227,1
33.212301278085434,1
36.75882195125432,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
91.44530690318227,1
33.212301278085434,1
38.51857141215407,1
33.212301278085434,1
33.212301278085434,1
33.212301278085434,1
